t,pnl_xbt_usd,pnl_eth_usd,pnl_eth_xbt,funding_fee_eth_usd,funding_fee_xbt_usd,pnl_roll_over,fee_xbt_usd,fee_eth_xbt,total_xbt,bxbt_price,total_xbt_pnl,total_xbt_pnl_without_ethusd_funding,total_usd_pnl,total_usd_pnl_without_ethusd_funding,ethusd_funding_usd
2018-08-04 18:00:00+00:00,30.13268658,10.2944666,12.97704801,-0.595323737,-0.100335991,0,0.401449508,0.416695043,1053.281716,6989.02,53.28171637,52.68639263,372386.9813,368226.2518,4160.729501
2018-08-04 19:00:00+00:00,30.67186024,11.8506069,12.39233801,-0.595323737,-0.100335991,0,0.402098962,0.417269513,1054.791096,6979.77,54.7910964,54.19577267,382429.251,378274.0282,4155.222757
2018-08-04 20:00:00+00:00,29.05827719,13.34689565,11.28885148,-1.021631723,-0.151751286,0,0.404469366,0.418415918,1054.044522,6994.51,54.04452204,53.02289032,378014.9498,370869.1365,7145.813306
2018-08-04 21:00:00+00:00,29.53690149,14.4840751,10.53591148,-1.021631723,-0.151751286,0,0.405025542,0.418768118,1054.906477,6983.36,54.90647742,53.88484569,383431.6981,376297.276,7134.422112
2018-08-04 22:00:00+00:00,29.13127008,14.2446689,10.9437365,-1.021631723,-0.151751286,0,0.405130185,0.419076555,1054.668852,6989.37,54.66885174,53.64722002,382100.8323,374960.2702,7140.562119
2018-08-04 23:00:00+00:00,28.28496235,13.5264503,11.0273865,-1.021631723,-0.151751286,0,0.405176046,0.419693535,1053.187313,7008.76,53.18731257,52.16568085,372777.1089,365616.7373,7160.371558
2018-08-05 00:00:00+00:00,27.84446113,12.74838015,12.7869765,-1.021631723,-0.151751286,0,0.405472277,0.420003128,1053.727725,7007.5,53.72772538,52.70609366,376497.0356,369337.9513,7159.084302
2018-08-05 01:00:00+00:00,34.20499909,18.6736836,11.4452165,-1.021631723,-0.151751286,0,0.405571237,0.4245462,1064.667165,6922.48,64.66716476,63.64553304,447657.1547,440584.9295,7072.225173
2018-08-05 02:00:00+00:00,33.94210713,18.13501965,12.13294205,-1.021631723,-0.151751286,0,0.405814123,0.42472293,1064.552915,6925.4,64.55291479,63.53128307,447054.7561,439979.5478,7075.208337
2018-08-05 03:00:00+00:00,32.64861916,15.3219968,14.03895205,-1.021631723,-0.151751286,0,0.407148561,0.42561003,1062.350192,6942.38,62.35019243,61.32856071,432858.7289,425766.1733,7092.555644
2018-08-05 04:00:00+00:00,27.67212057,10.83313055,13.37439205,-1.556780113,0.095283635,0,0.407177144,0.429109335,1052.504853,7006.5,52.50485317,50.94807306,367875.2537,356967.6739,10907.57986
2018-08-05 05:00:00+00:00,29.68555429,12.50897395,13.45825205,-1.556780113,0.095283635,0,0.407320083,0.430571318,1056.276385,6980.01,56.27638537,54.71960525,392809.7326,381943.3919,10866.34076
2018-08-05 06:00:00+00:00,29.52747361,12.14986465,13.40529208,-1.556780113,0.095283635,0,0.407498544,0.430704225,1055.705924,6977.68,55.70592405,54.14914394,388698.1121,377835.3987,10862.71346
2018-08-05 07:00:00+00:00,30.83976891,14.42422355,12.06833208,-1.556780113,0.095283635,0,0.408344684,0.43167624,1057.9538,6964.79,57.9538001,56.39701998,403636.0474,392793.4008,10842.64656
2018-08-05 08:00:00+00:00,32.88334819,16.69858245,10.86979811,-1.556780113,0.095283635,0,0.408680481,0.433130798,1061.071414,6937.92,61.07141394,59.51463383,423708.5842,412907.7684,10800.81588
2018-08-05 09:00:00+00:00,29.10291774,13.4067472,11.49083715,-1.556780113,0.095283635,0,0.408799004,0.435823185,1054.617376,6983.88,54.61737638,53.06059627,381441.2026,370568.8371,10872.3655
2018-08-05 10:00:00+00:00,23.10117031,11.0126852,9.734817151,-1.556780113,0.095283635,0,0.411293309,0.440177205,1044.458699,7067.01,44.45869863,42.90191851,314190.0678,303188.2872,11001.78063
2018-08-05 11:00:00+00:00,25.28152027,12.4491224,9.057937151,-1.556780113,0.095283635,0,0.411757258,0.441758325,1047.396561,7043.43,47.39656071,45.8397806,333834.3576,322869.2859,10965.07175
2018-08-05 12:00:00+00:00,26.49338208,13.7658565,10.87289729,-1.986124728,0.221343401,0,0.411891631,0.442640025,1052.042386,7031.51,52.04238555,50.05626082,365936.5544,351971.0985,13965.45589
2018-08-05 13:00:00+00:00,25.72509974,11.67105225,11.43543626,-1.986124728,0.221343401,0,0.412987514,0.443213813,1049.740168,7044.28,49.74016825,47.75404352,350383.6724,336392.8537,13990.8187
2018-08-05 14:00:00+00:00,30.65429246,14.364372,13.03485626,-1.986124728,0.221343401,0,0.414499576,0.446844773,1058.956958,6969.02,58.9569577,56.97083297,410872.2173,397030.8744,13841.34295
2018-08-05 15:00:00+00:00,33.66138114,16.21977005,12.99124332,-1.986124728,0.221343401,0,0.415285006,0.449059148,1063.772832,6922.52,63.77283169,61.78670696,441468.7028,427719.7147,13748.98815
2018-08-05 16:00:00+00:00,27.75537365,13.4067472,10.1789408,-1.986124728,0.221343401,0,0.417283149,0.453198908,1052.235361,7000.99,52.23536092,50.24923619,365699.2394,351794.4001,13904.83936
2018-08-05 17:00:00+00:00,27.645229,14.6037782,9.927540796,-1.986124728,0.221343401,0,0.41831371,0.453286943,1053.069729,7007.02,53.06972867,51.08360394,371860.6502,357943.8345,13916.81569
