t,pnl_xbt_usd,pnl_eth_usd,pnl_eth_xbt,funding_fee_eth_usd,funding_fee_xbt_usd,pnl_roll_over,fee_xbt_usd,fee_eth_xbt,total_xbt,bxbt_price,total_xbt_pnl,total_xbt_pnl_without_ethusd_funding,total_usd_pnl,total_usd_pnl_without_ethusd_funding,ethusd_funding_usd
2018-08-04 00:00:00+00:00,0,-0.375,0,0,0,0,0.374999899,0.38216268,-1.132162579,7415.53,-1.132162579,-1.132162579,-8395.585568,-8395.585568,0
2018-08-04 01:00:00+00:00,3.217588621,-1.37658565,-2.57259,0,0,0,0.378438899,0.384648705,-1.494674633,7455.68,-1.494674633,-1.494674633,-11143.81577,-11143.81577,0
2018-08-04 02:00:00+00:00,3.821807754,-0.89777325,-2.39401,0,0,0,0.378534406,0.38507748,-0.233587382,7469.5,-0.233587382,-0.233587382,-1744.780951,-1744.780951,0
2018-08-04 03:00:00+00:00,3.586947071,-1.49628875,-2.84096,0,0,0,0.378804284,0.38524884,-1.514354803,7469.71,-1.514354803,-1.514354803,-11311.79121,-11311.79121,0
2018-08-04 04:00:00+00:00,2.91421861,-0.3591093,-2.839688735,-0.155611636,0.050035683,0,0.38015528,0.38576292,-0.944921671,7455.66,-0.944921671,-1.100533307,-7045.014708,-8205.202157,1160.18745
2018-08-04 05:00:00+00:00,3.507129377,-0.65836705,-3.638944939,-0.155611636,0.050035683,0,0.380830365,0.386233417,-1.451670442,7465.93,-1.451670442,-1.607282078,-10838.0699,-11999.85548,1161.785581
2018-08-04 06:00:00+00:00,1.790718203,0.5985155,-3.906964939,-0.155611636,0.050035683,0,0.383055257,0.387515918,-2.182726458,7438.6,-2.182726458,-2.338338094,-16236.42903,-17393.96175,1157.532715
2018-08-04 07:00:00+00:00,0.29863416,1.49628875,-3.270565513,-0.155611636,0.050035683,0,0.384840553,0.388671585,-2.143578788,7422.47,-2.143578788,-2.299190424,-15910.64925,-17065.67195,1155.022699
2018-08-04 08:00:00+00:00,2.105574979,0.4788124,-3.17187803,-0.155611636,0.050035683,0,0.386960666,0.390084315,-1.258959679,7448.64,-1.258959679,-1.414571315,-9377.537422,-10536.63248,1159.095056
2018-08-04 09:00:00+00:00,2.976524489,-0.29925775,-3.79557803,-0.155611636,0.050035683,0,0.388194605,0.390725678,-1.791655621,7460.97,-1.791655621,-1.947267257,-13367.48884,-14528.50259,1161.013747
2018-08-04 10:00:00+00:00,2.808718309,1.61599185,-4.77732803,-0.155611636,0.050035683,0,0.38974864,0.390853702,-1.027644261,7455.81,-1.027644261,-1.183255897,-7661.920356,-8822.131147,1160.210791
2018-08-04 11:00:00+00:00,-0.941869272,2.93272595,-4.329622206,-0.155611636,0.050035683,0,0.393551255,0.393672727,-3.020413558,7404.64,-3.020413558,-3.176025194,-22365.07505,-23517.32319,1152.248144
2018-08-04 12:00:00+00:00,-0.83159638,3.7107961,-4.651834066,-0.595323737,0.099664009,0,0.394059668,0.39371541,-2.064749697,7405.07,-2.064749697,-2.660073433,-15289.61604,-19698.02998,4408.413942
2018-08-04 13:00:00+00:00,-11.23888644,12.0900131,-2.437584066,-0.595323737,0.099664009,0,0.408350596,0.40151775,-1.900666025,7251.07,-1.900666025,-2.495989762,-13781.8624,-18098.59648,4316.734086
